"","text"
"25","ditinjau   faktor salah satunya   kondisi lingkungan     mendukung    mendukung maksdnya   sinyal  membantu proses  daring       menggangu konsentrasi faktor      pelajar    konsentrasi    dukung  suasana  maksdnya      bertemu langsung   ketiga     berkaitan  proses  maka  daya penasaran  daya tarik terhadapa   dipelajari   berkurang     kontak  langsung  pelajar  dosen    berkaitan  proses  "
"26"," maksimal  membahas  ajar"
"27"," daring  efektif     pandemi  jam kuliah  kadang diluar  seharusnyamalam     daerah  susah sinyal  mengikuti praktikum terkendala"
"28","lebif efektif tatap    fokus  jelas"
"29","metodenya    efektif  efesien  interaksi sosial  fisik  pengajar  murid     kesehatan mental"
"30","metode   sulit menyerap ilmu   dosen"
"31"," tatap     mengerti penjelasan dosen"
"32","  setuju     sulit dijalankan  teman  terkadang terkendala  jaringan dosen  terkadang     ppt"
"33","metode    dituntut otodidak   mandiri  terganggu aktivitas dirumah"
"34","metode     kekurangannya   keuntungannya"
"35","metode     membatasi proses  karna  kali  kendala perihal jaringan tapi        mudah  akses"
"36","    aspek  setuju   setuju  setuju    menciptakan ruang   dinamis       setuju  jarak   mahasiswa   mengerti     dosen    dosen   menjelaskan    modul  bahan ajar sajahal  menyulitkan disaat praktikum "
"37"," kendala jaringan     diakses peserta didik   disiplinnya peserta didik     alasan    diakses game "
"38","    efektif   "
"39","metode    kuliah offline"
"40","  offline  berpengaruh  tingkat pemahaman   pelajaran   offlinetatap       "
"41"," metode     siswamahasiswa  malas   menambah ilmu  makin buntu disebabkan   susah diterima  siswamahasiswa   efektif  mengahabiskan uang    feedbacknya   "
"42","metode    tujuan pendidikan  tercapai"
"43"," metode    sulit dipahami terkendala jaringan     sulit  memahami mata kuliah   suka   tugas"
"44","  efektif   "
"45","       efektif    berinteraksi langsung  guru  "
"46","    menekankan  transfer knowledge   pemahaman   attitude peserta didik  terkontrol  transfer caracter  maksimal    "
"47","     mempengaruhi    menyetujui    contohnya  efisiennya  jaringan  menentukan    kemudia mahasiswa  kawasannya   terkena jaringan  stabil"
"48","    membutuhkan tatap  langsung  praktikum"
"49"," jarak      efektif    tenaga pengajar  mengontrol   mahasiswa  mengikuti       kelas   diwajibkan  mengaktifkan kamera   penggunaan aplikasi zoom  google meet peserta  mengikuti  mudah  kehilangan fokus  leluasa  kegiatan   proses     menonaktifkan kameranya"
"50","    jarak   penjelasan    guru cukup   daringtetapipada  pemebelajaran tatap    leluasa       dipahami"
"51","tanggapan    jarak    metode    dilaksanakan   membantu  seiring    metode    memberatkan    diterima   difahami   faktorfaktor     menghambat proses     salah  contoh jaringan   stabil  menghambat proses    "
"52","     kemampuan anak  orang tua  mengakses media   evaluasi   berjalan    masingmasing  plus minusnya"
"53"," belajarnya   santai   laksanakan  rumah"
"54","   efektif    metode  jarak "
"55"," jarak  terkendala  jaringan      konsentrasi"
"56","       dosen     mengerti     ketimbang metode tatap  "
"57"," sisi memiliki sisi positif  negatif"
"58",""
"59","metode  jarak  memiliki kelebihan  kekurangan"
"60","  tatap mukaoffline  efektif"
"61"," metode virtual    pengajar  mahasiswa   menutup    acuh  acuh  menerima     tugas berbeda  metode tatap "
"62"," faktor  menyulitkan  bandingkan memudahkan      alat komunikasi"
"63"," efektif"
"64","   setuju    perbedaan   luring  daring     daring   hambatanhambatan   alami  proses "
"65"," memudahkan    situasi pandemic"
"66","  tatap "
"67","metode   jarak   sosialisasi  real  "
"68","  metode  tatap          menyulitkan  belah   pengajar    mengamati siswanya  langsung     sulit memahami penjelasan  guru   keterbatasan   komunikasi   efektif"
"69"," efektif   offline  tatap  langsung"
"70"," penyampain mata kuliah   jelas  sulit  pahami"
"71","    jarak    mata kuliah    didiskusikan  langsung   daring   efisiennya   pandemi  "
"72","   jarak jauhter kadang  mahasiswa  malas  bungun pagi      mengikuti perkuliahan  telat bangun    metode   mahasiswa   berpartisipasi"
"73"," pendidik  komunikasi langsung karna   tingkat pendidikan dasar   sekedar   pelajaran"
"74","   kreativitas guru    meningkat           tatap   "
"75","  kekurangan  kelebihan  situasi  mendukung"
"76","   tatap  kecuali      jarak   terapkan"
"77","         kesungguhan  mengikuti    "
"78","kurangnya minat  partisipasi peserta didik  pembeljaran   keterbatasan media  jaringan internet"
"79","cukup setuju tergantung  dosenpengajar   proses   proses  mengajar "
"80","       pelajar faham   pelajaran   terima          suruh baca       pelajar butuh penjelasan"
"81","    metode   kelebihan  kekurangannya             setuju dimana   tatap    diberlakukan  kegiatan praktik     cukup     "
"82","      tatap     sepakat   kondisi      menyesuaikan  dibeberapa kondisi   berbeda   tatap     terbatas  jaringan   mendukung  aktivitas "
"83"," jarak   efektif"
"84","  fokusnya pelajar  memerhatikan pelajaran    pengajar"
"85"," metode  jarak     pemahaman  penjelasan"
"86"," jarak   fleksibel"
"87"," plus minusnya    dampak  bagus   ujian  bimbingan dampak   enak    sepenuhnya  dipahami"
"88","  setuju   jarak     maksimal  proses  mengajar  mahasiswa  praktek  langsung  softskill komunikasi"
"89","  jarak       lakukan  langsung"
"90"," rindu  offline  menyenangkan  efektif"
"91","    metode     efektif kerena  hambat  sinyal buruk stres  tekanan      bosan       berinteraksi  langsung    dosen    pahami   sinyal"
"92","       kendalanya  jaringan internet  pemahaman    dosen  sulit   mengerti"
"93","  langsung  kelas   mudah d pahami"
"94","   mudah dipahami   kendala jaringan     daring"
"95","   kebanyakan     penjelasan"
"96","     efisien    mahasiswa dimana     praktikum     berjalan    dilaksanakan  offline"
"97","   pandemi          dibandingkan tatap "
"98","    efektif   sulit  dipahamin"
"99","  jarak  dosen  mudah   "
"100","    tatap   efektif  mental   terbentuk dibandingkan  penerapan metode daring "
"101"," positif    negatif   jarak "
"102"," paham  dosen menerangkan   "
"103"," jarak   efektif"
"104"," dosen dominan mengandalkan tugas  indikator penilaian"
"105","         kombinasi    "
"106","pertemuan virtual   mengalami  koneksi  interaksi  guru  peserta  minim"
"107"," tingkat smp  jarak   terbatasannya"
"108","  jarak   fokus  menyimak  "
"109","  aspek   terjamah    karakter adab  nilai akademis  valid"
"110","karna   pandemi covid       lakukan  proses      penyampaian  "
"111","  efektifinteraksi   offline  berbedasinyal  kendala terbesar   terkadang habis  pencarian sinyal"
"112"," senua orang tua  hp  dipinjamkn anaknya"
"113","  jarak    setuju  borosnya penggunaan kuota  kesulitan mencari sinyal"
"114","    jarak   maksimal"
"115","   kendala  niat     turun    guru   maksimal"
"116","   kemudahan    bosanmalas"
"117","  jarak   pelajaran  bersifat teori    tapi   praktek   efektif"
"118"," tatap   "
"119","metode     kendalanya"
"120","   respon   lengkap"
"121","     jelas"
"122","metode         kendala"
"123","  jarak    bebas"
"124","  jarak     guru   sulit  dipahami"
"125","  teori   dimengerti    daring dibandingkan langsung   mata kuliah  membutuhkan praktek langsung"
"126","  langsung   kondusif"
"127"," jarak   maksimal"
"128","kebanyakan    fokus  sang pengajar  memperhatikan feedback  diajar"
"129","     mengerti    diajarkan       menghabiskan     malam   efektif       pedalaman   menimbulkan  kendala  susah sinyal"
"130","  paham  sistem tatap    fakultas     daring   cukup "
"131"," jarak  cukup   dosen  masuk kelas basa basi dulu     langsung habis   pertemuan  butuh kp  memenuhi     bahan ujian kalo    dosen habis  bab   pertemuan"
"132","indonesia   sepenuhnya siap     dibutuhkannya sarana pendukung  sarana  prasarana  mendukung   pandemi membawa perubahan terkesan mendadak   cepat    pelaku pendidikan  siap  perubahan  "
"133"," plus  minus masingmasingnya    cenderung santai  kelas  tiduran main handphone"
"134"," memudahkan   aspek   jarak "
"135","         santai    mudahnya mencari   internet"
"136","cukup    metode  tatap      lama  pelaksanaannya   pembiasaan  adaptasi    pelaksanaan  jarak   lancar "
"137","   penjelasan  maksimal   tugas"
"138","    diterapkan sepenuhnya  banyaknya kendala sinyal  mendukung gurudosen  menguasai penggunaan aplikasi  lingkungan  kondusif"
"139","   diajarkan  jelas   paham"
"140"," mendukung      fleksibel  keluhan keluhan ttg tugas        masi   tolerir     keberatan  mengerjakannya     hemat ongkos kendaraan bensin mobil dkk"
"141","sesungguhnya       offline memiliki kelebihan  kekurangan masingmasing         cenderung  bersemangat   makin   temanteman   menyebabkan  kondisi demotivasi   "
"142"," pribadi mengambil jurusan akuntansi      virtual  sulit ditangkap       hambatan  sinyal suara  "
"143"," efektif    proses "
"144","    jarak  pelajar  pengajar    pelajar  menganggap enteng kelas "
"145"," paham      dosen   sinyal  miskomunikasi   dosen    tugas  menjelaskan tugasnya  efektif   accan tugas visual  butuh penjelasan  visual    "
"146"," setuju    dibrikan sulit dipahami sulit mengenal temanteman  angkatan    kadang sinyal   mendukung"
"147","metode       paduan    konvensional"
"148","    daring  fleksibel   dimana "
"149","jelas metode   tatap     pemaparan   jelas"
"150","terkadang    membosankan   gangguan  rumah"
"151","   situasi covid  parah  sebisa    berusaha       offline"
"152","  era pandemi  salah    pembalajaran   dijalankan salah satunya     daring    tujuannnya  membantu  memudahkan   memahami pelajaran    mengikuti daring     memilih metode   tatap    pembalajarn tatap   jelas  pembelajarannya  mudah memahami pelajarannya   langsung berkomunikasi  berdiskusi  teman     guru mata pelajaran  metode  tatap     efektif  efisien   tugas     serumit tugas     daring  absensi   mudah   teratur    metode tatap    metode daring         memilih     tatap    daring  "
"153"," efektif tatap  langsung  sosialisasi nyata"
"154","jurusan   menekankan  praktikum  mengharuskan turun langsung  lapangan   jarak  menyulitkan perkuliahan"
"155","komunikasi    minim  pengajar  pelajar"
"156","      efisien  berat  pengajar      pengajar     maka    metode   dimana  menjangkau  siswanya    terkadang  menaruh perhatian  effort  gurunya  bermain  kelas    memperhatikan proses  mengajar  siswanya  terkadang   mengerti    dibatasi  layar   terkadang  pengajar  metode mengajarnya  memberatkan  pemberian tugas tugas  efisien  tatap   pengajar   situasi kelas   mengambil tindakan      fokus     ruangan  guru"
"157","       pahami        interaksi langsung  pelajar  pengajar"
"158","   diakses dimanapun"
"159","   perbedaan  sisi mengajar     offline kemudahan    dosen   mengajarkan via youtube   diulang dikemudian "
"160","   menuntut     mandiri mencari pengetahuan  mandiri   mengikuti panduan pengjarguru  mencari pengetahuan    bnyak  ilmu   dapatkan  luas   konvensional        pengajar   mengerti metode pengajaran     pmbelajaran    efektif    mahasiswa  memanfaatkan fasilitas daring     samasama berkolaborasi maka pmbelajaran       efisien  dimana     menggunakannya"
"161","terkendala  terbatas      "
"162"," mahasiswa  jurusan  cukup  praktik    efektif"
"163"," tatap    efektif"
"164"," kendala   "
"165","pelajaran praktikum    daring"
"166","cukup setuju  menyesuaikan     berkelanjutan tapi     diterapkan   luring  metode blandid learning"
"167","karna tatap        langsung karakter anak "
"168","disaat pandemi  pjj      tatap   kesehata  keselamatan peserta didik  guru  utama"
"169","tatap   efektif     katakter"
"170"," metode    pesan        memantau langsung aktivitas     tatap    langsung berinteraksi  langsung  "
"171","   media       dilaksanakan  maksimal    dosen    memanfaatkan media   media   perkuliahan  pasif   dinamis     mata kuliah praktikum  menyulitkan    pertemuan tatap  langsung kegiatan   terkontrol  output  dihasilkan  memuaskan"
"172","memiliki keuntungan  kerugian    mahasiswa  dosen"
"173","  kombinasi    offline"
"174"," baiknya   "
"175"," tatap   langsung  contoh karakter"
"176","karna    membaca bahasa tubuh     dipahami  guru  "
"177","   apapun guru terampil  komputer   butuh kenyataan real  lapangan sikap tingkah laku anak     laporan "
"178","   anak  memahami pembelajan onlineada sebagaian anak   paham   langsg  guruwalaupun     paham   daring   zoombiayanya  cukup mahal  daringtidak  anak memiliki akses    daring"
"179","     tatap  pendidikan     bermakna   tatap  "
"180","idealnya   tatap   penguatan  pengayaan     sisi humanisasi  pendidikan  sifatnya keteladanan  karakteri   maksimal   tatap "
"181","kbm  maksimal    berinteraksi langsung     guru    "
"182","  memahami   "
"183","bagus "
"184"," bagus proporsi      tatap "
"185"," peran guru  tergantikan"
"186","  tatap  hubungan sosial  guru         pembentukan karakter   mudah"
"187","  paham tatap "
"188"," hubungan guru  murid  terjalin  sempurna   sekat  pertemuan virtual  agak  gitu"
"189"," efektif  sinyal  mendukung"
"190"," metode daring terbilang   jenuhbanyak     semualebih  tatap     efektif"
"191","  tatap      pantau  mengatasi pendidikan  era pandemi       tatap      jarak      pantau  langsung  menurunkan semangat "
"192","    kadang    mahasiswa   sulit menerima   kadang    terperinci      cukup  tugas  wilayah  dipengunungan  terpencil  maka  sulit  sinyal      tergantung  sinyal"
"193","karna    seseru  tatap   tugas  ringan"
"194","  dirasa  maksimal  penjelasan  guru    tugas"
"195"," mata pelajaran  berpraktik    susah  disesuaikan"
"196"," tatap    digantikan  model  apapun  tatap  pengajar    peserta didiknya motivasinya kekurangan  kelebihannya   memantau kemajuna belajarnya  langsung   kesulitan    langsung "
"197","        mengerti ketimbang  tatap "
"198","  efektif"
"199","mengajar manusia   interaksi sosial  langsung sentuh  hati  hati  berbeda  melewati media"
"200","cukup setuju   kekurangan  kelebihannyakelebihannya       jarak kekurangannya  jarang bertemu     kurangnya silaturahmi"
"201","kurangnya fasilitas   video record penjelasan   dosennya langsung kurangnya paham      pdf ppt"
"202","setuju   pandemi"
"203"," sisi praktis    lompatan   guru    kadang kondisi  tinggal    hambatan "
"204","karna  tatap   agak susah  mencerna pelajaran   nya"
"205","     buka buku  tab crime    cair  dibutuhkanlebih ribet  susah    sibuk  "
"206","   berinteraksi  "
"207","karakter    terbentuk"
"208","   melaksanakan kuliah   kendala  melaksanakan kuliah  sinyal  buruk  dirumah  kadang    fokus   biaya kuota  kuliah  cukup menguras kantong   kekurangan    dibandingkan  tatap    tatap    dibandingkan "
"209","tergantung sikon kbm  dijalankan  kalanya  jarak          konvensional     berinteraksi langsung"
"210"," jarak   simple"
"211","   partisipasi"
"212","  siapnya tenaga pendidik  pendidik  pelaksanaan  jarak  daring    aspek"
"213","setuju"
"214","  praktis  muridmurid  tingkat iq  memadai  interaktif  memacu anak  bereksplorasi  realitanya     ratarata anak  kelas memiliki iq  tingkat pemahaman  minim   anakanak    metode tatap "
"215","   terkait      tertata rapih"
"216"," efektifnya peran aktif     kesukaran guru  mengevaluasi   penilaian kognitif afektif  psikomotorik "
"217","  dikondisikan dalan laporan  jarak "
"218"," tatap    peserta didik"
"219"," tatap  respon    ditangkap    guru   ditindak lanjuti langsung"
"220"," mendidik  mengajar   pendekatan  anak"
"221","penyampaian   anak  maksimal"
"222","  maksimal"
"223","  metode tatap          mudah memahami  pelajaran"
"224","cukup setuju"
"225","   metode pembealajaran  anakanak  fokus  "
"226"," peserta didik  siap    on line"
"227"," covid  "
"228"," tatap   efektif  "
"229","     "
"230","tatap      on line"
"231"," maksimal"
"232","   tatap  guru   kebutuhan "
"233","metode tatap      "
"234",""
"235","  jarak   efektif"
"236","  pandemi covid "
"237","    anak  rajin  aktif      buruk  anak  malas   malas"
"238","kondisi anak berbeda     pemahaman   "
"239","       memahami pelajaran  metode tatap "
"240"," tatap  respon     memuaskan  jaringan internet      mendampingi "
"241","   tatap    pandemi  maka     "
"242","    guru  kreatif  inovatif     komunikatif"
"243"," sulit memantau perkembangan afektif  emosional "
"244"," aja"
"245","     paham   "
"246","    mengikuti"
"247"," sinyal  pertemuan"
"248","kalo sepenuhnya   setuju    blended learning       adakan tatap       dirasakan  arah"
"249","   merespons      faham   mata pelajaran   penjelasan  detail   akuntansi  bahasa inggris matematika contohnya"
"250"," tantangan   hadapi  menyelenggarakan  daring   sisi sdm  kondisi ekonomi masingmasing peserta didik  diamanahkan  kurikulum  tim it  sekolah  mengedukasi rekanrekan guru   awam         berjalan   optimal   kreatif      menarik    memperhatikan kondisi kuota peserta didik      hidup  kondisi ekonomi  cukup"
"251","  kelemahan  sinyal internet"
"252","       kreatif      mengembangkan kemampuan     metode sekolah    diterapkan   "
"253","  setuju  tatap     "
"254"," pastinya aplikasi  meeting  situssitus  perpustakaan"
"255","  maksimal khusus  olahraga  krodit "
"256","    dipahami "
"257"," anak  tingkat sd    bimbingan  perhatian  pendidik   contoh keteladanan    lihat  kongkret  membentuk karakter baiknya   efektif  tatap   langsung   sd  karakter belajarnya   halhal  kongkret  maka       bermakna jiga  langsung tatap "
"258"," media tehnologinya setuju   gcgfmeet dsbcara on linenya   karakter  sikap sosial susah   bentuk   on line   usia pubertas  pencarian jati    susah  lingkungannya prosentase dunia maya  "
"259","prestasi    menurun  akademi  non akademi  kedisiplinan  "
"260"," sulita  memantau  langsung   kbm "
"261","  pilih    dijenjang sd anakanak   interaksi  fisik  guru  temantemannya  metode daring   pilihan  keadaankeadaan "
"262","onenote  mencatat    "
"263","fasilitas aplikasi   sediakan  universitas  sikola"
"264","kuota internet  pemerintah"
"265","laptop  hp"
"266","kuota gratis"
"267","hp laptop"
"268","laptop hp internet"
"269","  dibutuhkan laptopsmartphone   kuota tapi    tanggung masingmasing pengalaman    jarak   untung perkuliahan   wa    memakai laptop tapi cukup sayang  temanteman   pakai zoom  apapun   menguras  kuota    tanggung "
"270","zoom  wa"
"271","handphone laptop  internet seadanya"
"272","wifi laptop"
"273"," fasilitas   google   meet classroom  google pencarian    zoom youtube   sosial media "
"274","laptop  akses internet"
"275","laptop  akses internet"
"276","hp"
"277"," "
"278"," pastinya aplikasi  meeting  situssitus  perpustakaan"
"279"," zoom  google meet     daring"
"280","alat elektronik  laptop hp   wifi"
"281","  fasilitas"
"282","kuota"
"283","handphone  laptop"
"284","lms kampus kuota kampuskemendikbud"
"285","sosmed       diskusi  pelajaran  diskusi  pelajaran  teman teman"
"286","laptop hp wifi"
"287","laptop handphone wifi"
"288","xrecorder"
"289","zoomelearninggoogle meet"
"290","laptop  wifi"
"291","laptop"
"292","laptop  handphone"
"293","wifi"
"294","kuota  pemerintah  manfaatkan  zoom        kuota  numpang wifi   keluarga"
"295","leptophpmeja    "
"296","laptop wifi"
"297","handphone  laptop"
"298","laptop handphonekuota"
"299","hand phone  lattop"
"300","fasilitas internet    pemerintah"
"301","kuota internet"
"302","hpbukulaptop   "
"303","handphone  laptop"
"304","google chrome"
"305","zoom"
"306","handphone  wifi"
"307"," "
"308","aplikasi wa grup google meet  google classroom"
"309"," "
"310","zoom meeting  elearning"
"311","aplikasi zoom  google meet  google classroom"
"312","pulsa"
"313","handphone"
"314","komputer lcd  "
"315","laptop hp"
"316","andorid laptop"
"317","kuota internet"
"318","google classroom google meet zoom  whatsaap"
"319","internet hanphone laptopkomputer"
"320","hape"
"321","hp laptop jaringan internet"
"322","zoom"
"323","laptop  room"
"324","laptop  handphone"
"325","laptop hp"
"326","kuota "
"327","multimedia "
"328","zoom google clasroom"
"329","laptop hp  internet"
"330","  fasilitas internet  wifi  device    laptop"
"331","zoom googlr classroom google form  quizizz"
"332","proses   refrensinya  jurnal  makalah  sesuai  "
"333","kuliah    daring memakai apk lms zoom goggle classroom efisien  mudah dlm penggunaannya"
"334","laptop"
"335","aplikasi wa zoom"
"336","laptop zoom google studio mini aplikasi editing video"
"337","zoomgoogle meetgoogle classroomeduboxquizizgoogle form"
"338","internet pc hanphone   "
"339","laptop wifi headset hp"
"340","fasilitas  d   google classroom  wa"
"341","hp  laptop"
"342","handphone  laptop"
"343","zoom google meet class room   "
"344"," media zoom   cukup membantu     aplikasi     cocok "
"345","internet kuota laptop"
"346","wifi"
"347","hp  laptop"
"348","kuota internet  gadget"
"349","handphone   "
"350","platform zoom gmeet jaringan  memadai teknologi wa   "
"351","kuota leptop hp komputer youtube google   "
"352"," "
"353"," merasakan   fasilitas apapun  kampus     kuota internasional  kampus"
"354","kuota internet"
"355"," data internet gratis"
"356","laptop"
"357","buku handphone  data internet"
"358","  zoom google meetingdan whatsapp"
"359","hp  laptop"
"360","fasilitas  leptop  kuota internet"
"361","laptop  hp"
"362","buku  internet"
"363","kuota kemendikbud"
"364","laptop"
"365"," "
"366","laptop  handphone"
"367","beragam aplikasiaplikasi   mendukung   selecara synchronous  asynchronous zoom meeting google classroom  lms berbasis moodle whatsapp group quizziz wordwall oray   "
"368","mengikuti kuliah"
"369","internet aplikasi zoom lap top  lms"
"370","pc handphone"
"371","fasilitas ruang   lengkapi  background green screen  wifi  stabil"
"372","lms"
"373","meja   taruh   jendelalaptop  kuota  sinyalnya kenceng"
"374","kuota kemendikbud"
"375","fasilitas kuota"
"376","media zoom meating  google classroom"
"377","gc gf  youtube web"
"378","fasilitas kouta pembalajaran gratis kadang  diterima   perbulannya"
"379","laptop  wifi"
"380","google meet google classroom google form  whatsapp"
"381","zoom meeting google classroom whatsapp grup google form"
"382","zoom gcr padlet ed puzzle quiziz kahoot flipgrid"
"383",""
"384","handphone laptop  internet"
"385","laptop hp"
"386","internet"
"387","laptop buku alat tulis"
"388","zoom google meet"
"389","ofline"
"390","laptop handphone  internet"
"391","wifi laptop hp buku"
"392","laptop handphone  bantuan subsidi kuota"
"393","kadang laptop  kuota memadai   listrik padam        fasilitas  "
"394","kualitas jaringan internet laptop  kuota internet"
"395","internet  diakses  laptop  hp  menunjang kegiatan  mengajar  gmeet  zoom"
"396","laptop  handphone"
"397"," kuota internet  pemerintah  penggunaan alat bantu   zoom google meet kahoot   "
"398","zoom google meet google classroom quiziz mentimeter google form"
"399","laptop youtube classroom internet"
"400","laptop gadget  internet  mendukung"
"401","mempelajari   dikirim  aplikasi "
"402","wifilaptopipadhp"
"403","laptop handphone"
"404","perpustakaan  aplikasi  microsoft teams"
"405","platform  meeting fasilitas elearning kampus"
"406","  memakai laptop"
"407","komputer laptop handphone printer  scan"
"408","wifi laptop hp"
"409","laptop hp wifi"
"410","kuota  pemerintah"
"411","kuota internet  kampus  kemendikbud"
"412"," learning  database jurnal"
"413","youtube bimbel  web internet"
"414","handphone buku lks internet google classroom zoom"
"415","internet  laptop"
"416","aplikasi komunikasi  zoom  google meet  aplikasi e learning  google classroom"
"417","google classroom google meet zoom"
"418","fasilitas internet  barang teknoogi sperti smarthphoen  laptop"
"419","laptop  wifi"
"420","  bantuan kuota  kampus"
"421","youtube gmeet zoom"
"422","classroom  zoom"
"423","internet  gadget"
"424","laptop handphone dslr"
"425","google meet  zoom google form google  classroom    "
"426","jaringan internet laptop aplikasi zoom"
"427","kendala internet  perangkat"
"428","laptop  hp  infocus"
"429","ruang kelas   infokus tersedia  leptop "
"430","penggunaan gmeet   menjelaskan  berdiskusi  langsung  peserta didik"
"431","google class room"
"432","jaringan internet  memadai penyampaian  ajar  seefektif "
"433","   fasilitas    kuota internet fleksibilitas  sistem pembelajara     daring"
"434","hp  laptop"
"435","googlemeet google classroom google form whatsapp quizziss"
"436"," bimbingan kpd guru"
"437","google class room"
"438","wifi"
"439","whatsapp youtube google form gcr  "
"440","zoomgcr  google form"
"441","whattsap   media komunikasi youtube  media   berisi  pelajaran google form  google classroom  media penilaian"
"442","zoom meeting lms seamolec classroom ms team gmeet whatsapp group   "
"443","hp laptop"
"444","leptop zoom"
"445","free cost"
"446","kreatifitas      aplikasi   dipahami  guru      kejenuhan  "
"447","hp  tablet laptop"
"448","jaringan internet alat komunikasihp laptop"
"449","handphone"
"450","smartphone  data internet"
"451","wifi rumah"
"452","hp  laptop"
"453","handphone  notebook"
"454"," kuota bantuan  kemendikbud tapi tergantung wilayah   mahasiswa   sinyal  terjangkau"
"455","kuota pemerintah"
"456","wifihplaptopalat tulis"
"457","aplikasi zoom kahoots quizziz   "
"458","elearning grup whatsapp   youtube"
"459","hp internet"
"460",NA
"461","google meet whats app grup"
"462"," hp laptop  koneski internet"
"463"," animasi permateri   mahasiswa  berwarna  enak dipandang disertakan penjelasan contoh   dosen    tugas  quiz  kebingungan"
"464","whatsapp gooleform"
"465","whatsapp google classroom zoom google meet"
"466","googlegoogle classroomgoogle meetzoom"
"467"," perangkat android"
"468","wifilaptop aplikasi  kelas pontar"
"469","komputer  hp"
"470","laptop"
"471","kuota internet zoom power point   terkait "
"472","internet"
"473","laptop wifi"
"474","internet laptopkomputer  pelajaran aplikasi   penunjang kbm"
"475","fasilitas gadget"
"476","gmeet zoom youtube"
"477"," peralatan handphone  laptop   produktif   memakai aplikasi aplikasi   pengelolaannya   "
"478","google form zoom quizizz"
"479","daring  luring"
"480","zoom  wag"
"481","google classroom google meet youtube"
"482","zoom meeting"
"483","zoom group wa share video "
"484","video zoom"
"485","google meet"
"486","leptop  handphone"
"487","zoom"
"488","gmeet zoom quizz"
"489","alat peraga youtube   "
"490","hp laptop wifi"
"491","zoom  whatsapp"
"492","laptop handphone"
"493","internet hp  laptop"
"494","zoom google form"
"495","laptop  hp"
"496","mengunakan zoom meeting"
"497","laptophp komputer"
"498","leptopkadang  video "
"499","fasilitas   dimanfaatkan  optimal  penggunaan laptop jaringan internet  ponsel"
"500","zoom meeting google jamboard whatsapp youtube"
"501","internet ruang kelas laboratorium"
"502","zoomgmeet ppt video  wag gcr"
"503","hp android   youtube"
"504","fasilitas  aplikasi   google classroom edmodo quiziz google site"
"505","google suite  zoom"
"506","proyektor   berkelompok  diskusi  "
"507","laptop  internet"
"508","laptophp"
"509","lap top hp"
"510","wifi modul   media "
"511","google meet quizesss video"
"512","laptop webcam"
"513"," metode sinkron  asinkron"
"514","google classroom google meet zoom meeting quizzis youtube video  powerpoint"
"515","  langsung  tatap "
"516","via zoom gmeet whatsapp   youtube"
"517","zoom meeting  metode  langsung"
"518","waggoogle meetgoogle formquiziz"
"519","  perangkat     maksimal   goole clasroom zoom g meetwa edublog   aplikasi  google for education"
"520","meet gc gf whatsapp  instragram"
"521","aplikasi    model  youtube google classroom google form quizess   "
"522","wifi  apalikasi  "
"523","lms google classroom google extension   annotate tugastugas   koreksi google meeting zoom game edukasi  wordwall quiziz"
"524"," makin  mahasiswa  makin malas"
"525","      dampak   proses  mengajar    peorses  mengajar  zoom  mahasiswa mematikan kamera  mikrofon   aktivitas      efektif"
"526","dampak baiknya        dirumah   bertatap  langsung  mencegah penyebaran covid dampak buruknya guru  dosen terkadang  tugas    kuliah  dibandingkan  kuliah tatap "
"527","     berbeda  offline        masuk"
"528","  kreatif  dlm  teknologi"
