User;opinionText
Sukhriatun Rudiah;Kurang konsentrasi,  gangguan jaringan, kurang memahami, tidak efisien
Lu'lu Al-Maknun Musytari ;Belajar online dalam waktu yang lama cukup membosankan karena tidak bisa berinteraksi langsung dengan dosen dan teman-teman.
Andi Nurfadillah Ali;Menurut pembelajaran online ini masing-masing memiliki kekurangan dan kelebihan, misal untuk kelebihan belajar daring yaitu bisa belajar dimanapun tanpa harus ke kampus dan bisa menghemat biaya, dan kekuranganya yaitu sering terjadi masalah jaringan yang tidak stabil sehingga mengganggu proses belajar
Makhdaniar Madhani At thaharah;pembelajaran online kurang efektif dan efisien
Syamsuddin;"Banyak hal yang tidak terpenuhi seperti:
1. Ada siswa belum punya HP Android
2. Masih banyak daerah atau domisili siswa belum di jangkau jaringan internet
3. Kebanyakan siswa hanya passif "
Desmah Fajriani;Karna tidak paham pembahasan yang diberikan
Titi ayu astuti;saya tidak setuju dengan metode pembelajaran online karena sangatlah tidak efisien dikarenakan beberapa kendala salah satunya adalah jaringan.
Muh. Arham;Pembelajaran Tatap muka lebih efektif dibanding secara online, karena dengan pembelajaran tatap muka penyampaian informasi atau transfer ilmu lebih efektif, selain itu transfer emosional juga didapat
Nuha Hanifatul Khonsa';Walau pembelajaran dapat dilakukan online tetapi ada beberapa nilai nilai kebiasaan yang tidak didapat saat pembelajaran online.
Fitri cahaya;Metode tatap muka jauh lebih efektif. Metode pembelajaran online membuat para siswa menjadi mudah stres, sulit fokus dalam belajar, serta menjadi sulit untuk mengerjakan tugas, siswa juga sulit mengembangkan nilai-nilai karakter dan kecakapan karena sebagain besar aktivitas dilakukan hanya dari rumah dan tidak terjadi interaksi secara alami seperti di kampus.
Gany Berdu Sura;Ditinjau dari beberapa faktor salah satunya adalah  kondisi lingkungan yang mungkin bisa saja mendukung bisa saja tidak mendukung, maksdnya disini adalah sinyal yang membantu proses pembelajaran daring, hingga hal hal kecil lainnya yang menggangu konsentrasi, faktor lainnya adalah menurut saya seorang pelajar akan merasa lebih konsentrasi apabila dia di dukung oleh suasana sekitar maksdnya jika dia tidak berada atau bertemu langsung dengan pihak ketiga atau pihak kedua yang berkaitan dengan proses pembelajaran maka dia daya penasaran atau daya tarik terhadapa apa yang dipelajari bisa saja berkurang, sehingga lebih baik terjadinya kontak secara langsung antara pelajar dan dosen atau pihak yang berkaitan dengan proses pembelajaran tersebut
Kamaruddin. H;Tidak maksimal dalam membahas Materi ajar
Dina Soraya Fauziah;Pembelajaran daring kurang efektif jika bukan di tengah pandemi. Dikarenakan jam kuliah yang kadang diluar yang seharusnya/malam. Dan jika dari luar daerah yang susah sinyal jika mengikuti praktikum terkendala
Chandra Kirana Poetra;Lebif efektif tatap muka karena lebih fokus dan jelas
Kaka Kamaludin;Metodenya Pembelajaran online memang efektif dan efesien, namun interaksi sosial secara fisik antara pengajar dan murid juga sangat penting untuk kesehatan mental.
Ilham Muhammad Ariq;metode pembelajaran online Sulit menyerap ilmu yang disampaikan dosen
Putri Nella;Karena tatap muka lebih baik untuk mengerti penjelasan dosen
Ida fatrini putri;Sangat tidak setuju karena justru online lebih sulit dijalankan, banyak teman2 saya terkadang terkendala dengan jaringan, dosen juga terkadang ada yang hanya memberikan ppt
hanfi hermawan;metode pembelajaran online kita dituntut otodidak dan lebih mandiri sedangkan terganggu aktifitas dirumah
Bakti Qilan Mufid;metode pembelajaran online Lebih banyak kekurangannya dari pada keuntungannya.
Zavira Nurfalita;metode pembelajaran online menurut saya membatasi proses pembelajaran karna sering kali terjadi kendala perihal jaringan, tapi dengan melalui pembelajaran online semua materi lebih mudah di akses.
Murnia Lestari;Menurut saya ada beberapa aspek antara setuju dan tidak setuju. Saya setuju pembelajaran online karena menciptakan ruang pembelajaran secara dinamis namun ada yang tidak membuat saya setuju pembelajaran jarak jauh membuat mahasiswa tidak terlalu mengerti materi yang disampaikan oleh dosen apalagi ada beberapa dosen yang tidak menjelaskan yang hanya memberikan modul atau bahan ajar saja,hal ini menyulitkan disaat praktikum tentunya.
Fatmawati;Karena kendala jaringan yang tidak seluruhnya bisa diakses peserta didik, serta tidak disiplinnya peserta didik dalam pembelajaran online, malah alasan belajar online yang diakses game online.
Fitria Dwi Ningsih;Karena menurut saya kurang efektif dengan pembelajaran online.
Dyning Aida Batrishya;metode pembelajaran lebih baik kuliah offline
Sitti Arabia;Pembelajaran secara offline sangat berpengaruh pada tingkat pemahaman kita terhadap pelajaran, sehingga pembelajaran offline/tatap muka lebih baik dari pada pembelajaran online
A. Meriam Residen;Karena metode pembelajaran secara online membuat siswa/mahasiswa menjadi malas dan bukannya menambah ilmu malah makin buntu disebabkan materi yang susah diterima bagi siswa/mahasiswa. Sangat tidak efektif dan mengahabiskan uang tetapi tidak ada feedbacknya buat diri sendiri.
Kasmawati Zainuddin;metode pembelajaran online membuat Tujuan pendidikan tidak tercapai
Zakiyah;Selama metode pembelajaran online materi sulit dipahami, terkendala jaringan juga membuat menjadi lebih sulit untuk memahami mata kuliah, terlebih lagi suka banyak  tugas
Nurul Maghfirah Aras;Karena kurang efektif dalam pembelajaran online
Nurul wafika;Menurut saya pembelajaran secara online sangat tidak efektif karena kita kurang berinteraksi langsung antara guru dan siswa 
Fahira, S.Pd;Pembelajaran secara online lebih menekankan pada transfer knowledge, lebih kepada pemahaman materi sehingga attitude peserta didik kurang terkontrol karena transfer caracter tidak maksimal jika dilakukan secara online.
A.IDHAM FITRAH AL MADANI;Banyak kemudian hal hal yang mempengaruhi sehingga saya tidak menyetujui pembelajaran online ini contohnya tidak efisiennya karena jaringan yang menentukan pembelajaran sedangkan banyak kemudia mahasiswa yang kawasannya belum terlalu terkena jaringan yang stabil
A. Mukramin Yusuf;Ada beberapa materi yang membutuhkan tatap muka langsung misalnya praktikum
Rezky Ananda;Pembelajaran jarak jauh menurut saya menjadi kurang efektif karena tidak semua tenaga pengajar bisa mengontrol siswa atau mahasiswa yang mengikuti pembelajaran online. Terlebih lagi jika dalam kelas tersebut tidak diwajibkan untuk mengaktifkan kamera seperti pada penggunaan aplikasi Zoom atau Google Meet, peserta yang mengikuti pembelajaran mudah untuk kehilangan fokus bahkan leluasa melakukan kegiatan lain selama proses pembelajaran karena hanya dengan menonaktifkan kameranya.
Nurul A’in ;menurut saat tentang pembelajaran jarak jauh ini Penjelasan yang didapat dari guru cukup pada saat daring.Tetapi,pada saat pemebelajaran tatap muka siswa lebih leluasa bertanya jika ada materi yang tidak dipahami.
Nur Hikma;Tanggapan saya tentang pembelajaran jarak jauh, pada awal metode pembelajaran secara online dilaksanakan itu sangat membantu, namun seiring waktu pembelajaran melalui metode online ini sangat memberatkan. Karena pembelajaran yang diterima tidak terlalu difahami serta banyak faktor-faktor yang lain yang dapat menghambat proses pembelajaran menggunakan online tersebut salah satu contoh: jaringan yang tidak stabil dapat menghambat proses pembelajaran dan lain hal
Andi Muh Fauzan Razak;Banyak hal yang menjadi persoalan, kemampuan anak Dan orang tua dalam mengakses media pembelajaran, juga evaluasi tidak bisa berjalan dengan baik. Walaupun masing-masing ada plus minusnya
Andi Indri Pratiwi;Karena belajarnya bisa lebih santai karena di laksanakan di rumah
Nurul Fitri;Karena tidak terlalu efektif pembelajaran jika menggunakan metode pembelajaran jarak jauh
Anissatul Muazzirah;pembelajaran jarak jauh terkendala masalah jaringan dan itu yang membuat tidak konsentrasi
Sitti Aisyah;Karena menurut saya materi yang diberikan oleh dosen banyak yang tidak saya mengerti ketika pembelajaran secara online ketimbang metode tatap muka biasa
Habib Abdul Rasyid;Kedua sisi memiliki sisi positif dan negatif
Janjalaneh;Apa?
Nurul Istikhomah;metode pembelajaran jarak jauh memiliki kelebihan dan kekurangan
MUH. RUSMAN;Karena pembelajaran tatap muka(offline) lebih efektif
Biutipul;Karena metode virtual ini, baik dari pengajar maupun mahasiswa sendiri tidak menutup kemungkinan banyak yang acuh tak acuh dalam menerima materi begitupun dengan mengerjakan tugas, berbeda dengan metode tatap muka
Suciyani;Banyak faktor yang menyulitkan di bandingkan memudahkan. Terlebih yang kurang dalam menggunakan alat komunikasi
Ainun Nurul Asa;Tidak efektif
Annisa muliani ilmi;saya sangat tidak setuju karena banyak sekali perbedaan antara belajar luring dan daring dan apabila kita belajar daring banyak sekali hambatan-hambatan yang kita alami pada proses pembelajaran 
A. St. Ardiyanti Umar;Karena memudahkan memberikan pembelajaran dalam situasi Pandemic
Aya;Lebih baik tatap muka
Difa Al Fansha;metode tentang pembelajaran jarak jauh membuat Sosialisasi secara real menjadi kurang
Aulyardha Anindita ;Menurut saya metode pembelajaran tatap muka lebih baik, karena menurut saya pembelajaran secara online menyulitkan kedua belah pihak, seperti pengajar yang tidak bisa mengamati siswanya secara langsung dan siswa yang mungkin sulit memahami penjelasan dari guru karena adanya keterbatasan waktu ataupun komunikasi yang kurang efektif 
Kasdiana;Lebih efektif pembelajaran jika offline atau tatap muka langsung
Liyana majdah rahma;Karena penyampain mata kuliah sangat kurang jelas dan sulit di pahami
Nur Aina;menurut saya tentang pembelajaran jarak jauh Ada beberapa mata kuliah yang perlu untuk didiskusikan secara langsung, dan dengan daring juga ada efisiennya di saat pandemi sekarang ini.
Ifan wahyudi;menurut saya pembelajaran jarak jauhter kadang ada mahasiswa yang malas untuk bungun pagi dan bisa jadi tidak bisa mengikuti perkuliahan dikarenakan telat bangun dan dengan menggunakan metode belajar online mahasiswa bisa ikut berpartisipasi
Agus Paturohman;Sebagai pendidik diperlukan komunikasi langsung, karna pembelajaran di tingkat pendidikan dasar tidak hanya sekedar memberikan materi pelajaran.
Tita Puspita;Dengan pembelajaran online kreativitas guru dan siswa lebih meningkat.. Akan tetapi akan lebih baik lagi jika pembelajaran dilakukan secara tatap muka dan online
Atti S;"1.semua ada kekurangan dan kelebihan
2.ada situasi yang mendukung"
Imam muslimin;Sebaiknya belajar secara tatap muka, kecuali tak memungkinkan baru  pembelajaran jarak jauh di terapkan
SANIB;Pada saat pembelajaran online berlangsung kita tidak dapat memastikan kesungguhan siswa mengikuti materi yang kita sampaikan
Wirda Nengsi,S.Pd;kurangnya minat dan partisipasi peserta didik dalam pembeljaran online, karena keterbatasan media dan jaringan internet
Indah Sari;Cukup setuju, tergantung dari dosen/pengajar bagaimana cara proses pembelajaran selama proses belajar mengajar berlangsung
A.Aida Wulandari Putri ;Karena pembelajaran secara online tidak membuat banyak pelajar faham akan materi pelajaran yang di terima, karena hanya materi saja yang di berikan lalu di suruh baca setelah itu menjawab soal. Sedangkan kami pelajar butuh penjelasan. 
Andi Nadhyatul Hidayah;Menurut saya untuk setiap metode pembelajaran terdapat kelebihan dan kekurangannya masing masing. Jadi untuk mengatakan bahwa pembelajaran online lebih baik  kurang setuju, dimana untuk pembelajaran tatap muka sangat penting diberlakukan untuk kegiatan praktik ataupun pembelajaran yang tidak cukup hanya dijelaskan semata melalui online. 
Nurul Hidayah Alimuddin ;Kalau dikatakan lebih baik online daripada tatap muka, menurut saya kurang sepakat namun karena kondisi seperti ini jadi kita harus menyesuaikan. Adapun dibeberapa kondisi pasti sangat berbeda dengan belajar tatap muka. Misalnya waktu yang terbatas atau jaringan yang kurang mendukung dalam aktivitas pembelajaran. 
Arjun Yuda Firwanda;pembelajaran jarak jauh Kurang Efektif 
Harun Ar - Rasyid;Karena tidak fokusnya pelajar dalam memerhatikan pelajaran yang di sampaikan pengajar
Sri Rahayu;tentang metode pembelajaran jarak jauh menurut saya kurang pemahaman dan penjelasan 
Damara Benedikta ;pembelajaran jarak jauh lebih fleksibel 
Evietania;Ada plus minusnya, namun sejauh ini dampak yang bagus pada saat ujian dan bimbingan.. Dampak yang kurang enak itu materi tidak sepenuhnya dapat dipahami
Muhammad Fahmi;saya Tidak setuju tentang pembelajaran jarak jauh karena tidak bisa maksimal dalam proses belajar mengajar apalagi mahasiswa perlu praktek secara langsung dan softskill komunikasi
Faisal Najib Abdullah;tentang pembelajaran jarak jauh Akan tetapi lebih baik di lakukan secara langsung
Nia zuliana;Saya rindu pembelajaran offline, lebih menyenangkan dan efektif.
Eka Nuraini;Menurut saya pembelajaran dengan metode online ini sangat tidak efektif kerena banyak hambat seperti sinyal buruk, stres, banyak tekanan dan lain hal. Saya merasa bosan dengan pembelajaran online karena  tidak berinteraksi secara langsung. Materi yang disampaikan dosen juga kurang saya pahami karena masalah sinyal.
Naila Rahma Fitri;Karena dengan pembelajaran secara online banyak sekali kendalanya, seperti jaringan internet dan pemahaman mengenai materi dari dosen lebih sulit untuk di mengerti 
Muhammad Adham Malik;Karena belajar langsung di kelas itu lebih mudah d pahami
NURSYAFIKAH;Pembelajaran tidak begitu mudah dipahami. Selain itu, kendala jaringan ketika melakukan sebuah pembelajaran daring 
Andi Tenri Rahayu Asri;Karena pembelajaran online kebanyakan materi yang diberikan daripada penjelasan 
Oktaviana Nurul Khoiriah;Karena pembelajaran secara online tidak efisien apalagi saya sebagai mahasiswa dimana sebagian harus apa pembelajaran praktikum itu semua menurut saya berjalan dengan baik jika dilaksanakan secara offline
Murafiqah ramadhani;Karena sekarang masa pandemi jadi lebih baik jika kita melakukan pembelajaran online jika dibandingkan tatap muka
Ira Dwita Syafitri Tarigan;pembelajaran saat online kurang efektif dan lebih sulit untuk dipahamin
Reski Amalia;tentang pembelajaran jarak jauh Dosen lebih mudah dalam memberikan materi 
Maria Ulfa;Menurut saya pembelajaran secara tatap muka lebih efektif karena mental siswa lebih terbentuk dibandingkan dengan penerapan metode daring (online)
Nur aulia syahbani ;Ada positif dan ada  negatif tentang pembelajaran jarak jauh
Ayu Wahyuni;Kurang paham jika dosen menerangkan saat pembelajaran online
Andi Nur Ihsan Bahri;pembelajaran jarak jauh Kurang Efektif
ahmad farid;karena dosen dominan mengandalkan tugas sebagai indikator penilaian
Adie Wirahardi Kusuma;Pembelajaran online yang saya yakin baik saat ini memerlukan kombinasi yang baik diantara keduanya
Bahtiar;pertemuan virtual (online) sering mengalami masalah koneksi dan interaksi antara guru dan peserta sangat minim
Ibnu Bathutah;Untuk tingkat SMP pembelajaran jarak jauh banyak terbatasannya. 
Dewi Gustini;tentang pembelajaran jarak jauh, Kurang fokus saat menyimak materi pembelajaran.
Endang Lestari;Karena ada aspek yang tidak terjamah di online yaitu karakter adab dan nilai akademis yang valid
Juni Srikuswati ;Karna di saat pandemi covid 19 hanya itu yang harus kita lakukan dalam proses pembelajaran online dengan siswa dalam penyampaian materi belajar. 
Wulan Novitasari;Pembelajaran kurang efektif,interaksi online dan offline sangat berbeda.sinyal menjadi kendala terbesar sehingga waktunya terkadang habis untuk pencarian sinyal 
Siti Masruroh;Tidak senua orang tua punya hp untuk dipinjamkn anaknya.
Dini Permata Putri;tentang pembelajaran jarak jauh saya tidak setuju, dikarenakan borosnya penggunaan kuota dan kesulitan mencari sinyal.
Ahmad Syahroni;menurut saya tentang pembelajaran jarak jauh tidak maksimal 
Yohanes Sigit Untoro;Karena banyak sekali kendala dan niat belajar siswa yang sangat turun begitu juga materi guru  belum maksimal
Fauzan;Terlihat banyak sekali kemudahan sehingga dapat menjadi bosan/malas
nayah anjani;tentang pembelajaran jarak jauh, untuk pelajaran yang bersifat teori mungkin masih bisa tapi jika terdapat praktek sangat tidak efektif
ERNI MARYANI, S.Pd;pembelajaran Tatap muka lebih baik
Soleh;Metode pembelajaran secara online banyak kendalanya
Sopiah;Tidak bisa melihat respon siswa secara lengkap 
Fatoni Kabir;Karena materi yang disampaikan kurang jelas
Desi Ayu Ramadhan;Metode pembelajaran secara online tidak lebih baik karena banyak kendala 
Asrini Salsabila Putri;tentang pembelajaran jarak jauh Siswa lebih bebas
Nisrina Salsabila ;tentang pembelajaran jarak jauh Materi yang disampaikan guru menjadi lebih sulit untuk dipahami.
Alin Natusaripah;Lebih banyak teori yang kurang dimengerti ketika belajar secara daring dibandingkan langsung terutama pada mata kuliah yang membutuhkan praktek langsung
Millati Haniefa Nurkamila;Pembelajaran secara langsung akan lebih kondusif
Udho ganteng;pembelajaran jarak jauh Tidak maksimal
Nuril Kartika Rahmawati ;Kebanyakan pembelajaran online hanya fokus pada sang pengajar tanpa memperhatikan feedback yang diajar
Cindy Callysta;Pembelajaran online membuat saya kurang mengerti dengan apa yang diajarkan sehingga harus belajar sendiri lagi dan menghabiskan waktu untuk belajar di malam hari, kurang efektif juga bagi mereka yang berada di pedalaman karena akan menimbulkan banyak kendala, seperti susah sinyal. 
Aini Zahra;Sebenarnya kurang paham bagaimana sistem tatap muka bagaimana di fakultas saya, namun untuk pembelajaran daring ini sudah cukup baik
Medina;pembelajaran jarak jauh cukup baik, biasanya dosen yang masuk kelas basa basi dulu. Jadi materi tidak secara langsung habis di satu pertemuan, sehingga butuh KP buat memenuhi materi yang kurang untuk bahan ujian. Kalo online hampir semua dosen habis satu bab dalam satu pertemuan. 
Digma Heldy Pratama;Indonesia masih belum sepenuhnya siap dengan pembelajaran online. Masih dibutuhkannya sarana pendukung seperti sarana dan prasarana yang mendukung pembelajaran online. Pandemi membawa perubahan terkesan mendadak dan terlalu cepat, sehingga banyak dari pelaku pendidikan tidak siap dengan perubahan yang ada.
Milena;Ada plus dan minus masing-masingnya, pada pembelajaran online cenderung santai ketika kelas (seperti tiduran, main handphone)
Muthmainnah Nur;Karena memudahkan dalam berbagai aspek selama pembelajaran jarak jauh
Dewi F.F.;Karena dengan adanya pembelajaran online para siswa jadi terlalu santai dan mereka dengan mudahnya mencari jawaban di internet
Ravenska Vania;Cukup lebih baik dari metode pembelajaran tatap muka karena tidak memerlukan waktu lama untuk pelaksanaannya, tetapi memerlukan pembiasaan dan adaptasi lebih lanjut agar pelaksanaan pembelajaran jarak jauh lebih lancar lagi.
dewi robin pramary;selama pembelajaran online penjelasan tidak maksimal, dan selalu tugas
mega purwati;pembelajaran online belum bisa diterapkan sepenuhnya karena banyaknya kendala (sinyal tidak mendukung, guru/dosen belum menguasai penggunaan aplikasi pembelajaran, lingkungan tidak kondusif)
HERLINA DWI KARTIKASARI;Banyak materi yang diajarkan kurang jelas dan tidak paham
amanda;saya mendukung pembelajaran online karena waktu lebih fleksibel dan keluhan keluhan ttg tugas banyak dan lain hal itu menurut saya masi bisa di tolerir dan saya juga tidak keberatan untuk mengerjakannya selain itu juga lebih hemat ongkos kendaraan (bensin mobil dkk)
Zahrah Tsania;Sesungguhnya menurut saya baik pembelajaran online dan offline memiliki kelebihan dan kekurangan masing-masing. Namun, bagi saya pembelajaran online membuat saya menjadi cenderung kurang bersemangat dan merasa makin jauh dari teman-teman. Hal tersebut menyebabkan seringnya kondisi demotivasi pada diri saya. 
Dea;Saya pribadi mengambil jurusan akuntansi yang mana kalau dijelaskan secara virtual lebih sulit ditangkap, dan juga secara online itu banyak hambatan misal sinyal, suara, dan lainnya.
Salsabela;Kurang efektif secara keseluruhan dalam proses pembelajaran.
Sindhu Wijaya Mulyo Nugroho;karena saat belajar online jarak antara pelajar dan pengajar sangat jauh, sehingga pelajar lebih menganggap enteng kelas online
Imelia Nurlaila;kurang paham dengan materi yang diberikan oleh dosen karena masalah sinyal dan miskomunikasi, ada juga dosen yang asal memberikan tugas tanpa menjelaskan tugasnya, kurang efektif apalagi untuk accan tugas visual yang butuh penjelasan dan visual di waktu yang sama.
zahra chairunnisa wihajaya;tidak setuju, karena materi yang dibrikan sulit dipahami, sulit mengenal teman-teman yang angkatan 2020 seperti saya, kadang sinyal juga tidak mendukung 
Andin;Metode pembelajaran yang baik menurut saya adalah paduan antara online dan konvensional
Faradina;menurut saya pembelajaran melalui daring lebih fleksibel untuk dikerjakan dimana saja
Latanza Delia Choirunnisa;Jelas metode pembelajaran saat tatap muka lebih baik, karena pemaparan juga lebih jelas
Widadri Ailin;terkadang pembelajaran online lebih membosankan, banyak juga gangguan di rumah
Bulqiah Jagad Mauladan;Lebih baik jika situasi covid-19 sedang parah, namun sebisa mungkin kita harus berusaha agar bisa melakukan pembelajaran dengan cara offline.
Shafira Desy Ayu Al - Fikri;Mungkin, di era pandemi ini, salah satu cara agar pembalajaran tetap bisa dijalankan salah satunya dengan pembelajaran online ( daring) , meskipun dalam tujuannnya untuk membantu dan memudahkan kita dalam memahami pelajaran, ternyata selama saya mengikuti daring , saya lebih baik memilih metode pembelajaran secara tatap muka, karena jika pembalajarn tatap muka, sudah jelas waktu pembelajarannya, lebih mudah memahami pelajarannya, dan bisa langsung berkomunikasi serta berdiskusi dengan teman yang lain maupun dengan guru mata pelajaran tersebut. Metode pembelajaran tatap muka menurut saya, sangat efektif dan efisien . Untuk tugas yang diberikan , tidak serumit tugas yang diberikan pada saat daring, untuk absensi pun lebih mudah dan lebih teratur jika pembelajaran menggunakan metode tatap muka. Bukan berarti metode daring tidak baik untuk dilakukan , tetapi jikalau harus memilih, lebih baik pembelajaran secara tatap muka daripada secara daring / online.
Chrisye;lebih efektif tatap muka langsung, ada sosialisasi nyata
Nabila Hasna;Jurusan saya lebih menekankan pada praktikum yang mengharuskan turun langsung ke lapangan sehingga pembelajaran jarak jauh menyulitkan perkuliahan
Rizqi Amalia Utami;Komunikasi yang terjadi sangat minim antara pengajar dengan pelajar
Adinda Kasih Salsabilah;Menurut saya pembelajaran secara online kurang efisien karena berat untuk pengajar dan siswa itu sendiri. Untuk pengajar, dengan pembelajaran secara online maka mereka harus melakukan metode pembelajaran yang dimana dapat menjangkau semua siswanya tetapi siswa sendiri terkadang tidak menaruh perhatian atas effort dari gurunya dengan bermain saat kelas online atau tidak memperhatikan proses belajar mengajar. Untuk siswanya sendiri terkadang tidak dapat mengerti dengan pembelajaran yang dibatasi oleh layar dan juga terkadang ada pengajar yang metode mengajarnya hanya memberatkan pada pemberian tugas tugas. Lebih efisien dengan tatap muka karena pengajar dapat melihat situasi kelas dan dapat mengambil tindakan dan siswa juga akan lebih fokus karena berada dalam satu ruangan dengan guru. 
Lelly Febriyanti;Karena materi yang di sampaikan kurang di pahami juga hanya melalui online saja, harus ada interaksi langsung antara pelajar dan pengajar
Dita Cahayatiningsih;Karena materi bisa diakses dimanapun
Noor Anisa Amelia;Tidak terlalu ada perbedaan dari sisi mengajar baik itu online maupun offline, kemudahan dari online karena dosen ada yang mengajarkan via YouTube dan bisa diulang dikemudian hari.
Riska;Pembelajaran online itu menuntut kita untuk belajar secara mandiri, mencari pengetahuan secara mandiri dengan tetap mengikuti panduan pengjar/guru. Dengan mencari pengetahuan sendiri kita bisa bnyak belajar. Ilmu yang di dapatkan lebih luas daripada belajar konvensional. Hanya Saja untuk sekarang ini masih banyak pengajar yang kurang mengerti metode pengajaran secara online, sehingga membuat pmbelajaran online ini kurang efektif. Terlebih lagi sebagian mahasiswa kurang memanfaatkan Fasilitas daring yang ada. Jika keduanya sama-sama berkolaborasi maka pmbelajaran online pasti jauh lebih baik serta efisien, karena dimana dan kapanpun kita bisa menggunakannya. 
hana;terkendala dan terbatas jadi tidak dapat disebut lebih baik
Cahya;Sebagai mahasiswa dengan jurusan yang cukup banyak praktik, pembelajaran online kurang efektif
Marni;Pembelajaran Tatap muka jauh lebih efektif. 
Asep Muslihat;Ada kendala ketika pembelajaran online
Bekti widodo;Pelajaran praktikum tidak bisa dengan daring
Rohman Mulyadi;Cukup setuju karena menyesuaikan dengan keadaan apabila terus berkelanjutan tapi pembelajaran online juga bisa diterapkan ketika pembelajaran Luring dengan metode blandid learning 
N.Mardiyah;karna tatap muka lebih dekat siswa sehingga mengetahui secara langsung karakter anak /siswa
Herlin Sundari;Disaat pandemi ini PJJ secara online lebih baik daripada tatap muka mengingat kesehata dan keselamatan peserta didik, dan guru lebih utama 
Mulyani. S.Pd;Tatap muka lebih efektif utk pembelajaran siswa khususnya katakter
Wartono;Karena metode online hanya menyampaikan pesan atau materi secara umum dan tidak dapat memantau langsung aktivitas siswa,  tidak seperti tatap muka yang dapat langsung berinteraksi secara langsung kepada siswa
Yosa Halim Prayogi;Untuk saat ini media pembelajaran online masih belum benar benar dilaksanakan secara maksimal , masih banyak dosen yang belum bisa memanfaatkan media online sebagai media pembelajaran sehingga perkuliahan menjadi pasif dan kurang dinamis. Terlebih lagi jika terdapat mata kuliah praktikum, sangat menyulitkan apabila tidak ada pertemuan tatap muka langsung. Kegiatan menjadi tidak terkontrol dan output yang dihasilkan kurang memuaskan.
Dini Alisari;Memiliki keuntungan dan kerugian masing masing bagi mahasiswa dan dosen
Evita Wulansari;Lebih baik kombinasi antara online dan offline
Muh. Ruli Gunawan ;Ada baiknya bukan lebih baik
Mulyani;Karena tatap muka Bisa langsung memberikan contoh karakter
Nufa Suryana ;Karna kita tidak bisa membaca bahasa tubuh siswa dan tidak akan dipahami oleh guru dengan baik 
Susanti;Karena walau seperti apapun guru terampil menggunakan komputer tetap kita butuh kenyataan real di lapangan.. Sikap tingkah laku anak tidak bisa hanya dengan laporan saja
Yuli Eenawati;Karena tidak semua anak bisa memahami pembelajan online...ada sebagaian anak yang lebih paham belajar secara langsg dengan guru...walaupun ada juga yang sudah paham dengan kita daring atau lewat zoom...biayanya juga cukup mahal untuk daring...tidak semua anak memiliki akses  untuk pembelajaran daring
Peni Trihastuti;"Pembelajaran memang bisa online dan tatap muka.
Pendidikan / pembelajaran akan lebih bermakna bila dengan tatap muka "
Imam Nashokha;Idealnya pembelajaran dilakukan tatap muka dengan penguatan dan pengayaan menggunakan pembelajaran secara online. Sisi humanisasi dan pendidikan yang sifatnya keteladanan dan karakteri hanya bisa maksimal dilakukan saat tatap muka.
